timestamp,window,packages,predicted
1644779313.408502,None,2911,3192.867724867725
1644779314.4664373,None,4980,3182.4603174603176
1644779316.7183573,None,11130,3360.5132275132273
1644779317.571453,None,3617,4103.084656084656
1644779318.81644,None,5818,4085.2804232804233
1644779319.410149,None,2651,4263.592592592592
1644779319.8644843,None,2180,4114.148148148148
1644779320.1764433,None,1458,3909.968253968254
1644779320.718595,None,2600,3642.7830687830688
1644779321.2562602,None,2456,3495.0158730158732
1644779321.480923,None,1136,3324.2804232804233
1644779321.7512426,None,1247,3033.0476190476193
1644779322.2799785,None,2399,2789.835978835979
1644779322.9426582,None,2759,2705.3068783068784
1644779323.1693306,None,1082,2650.6349206349205
1644779323.5199776,None,1554,2425.1746031746034
1644779323.8895233,None,1565,2244.968253968254
1644779324.117683,None,1059,2110.026455026455
1644779324.3175693,None,994,1929.3280423280423
1644779324.586377,None,1268,1745.6772486772486
1644779324.797177,None,977,1598.2645502645503
1644779325.400339,None,2631,1442.7777777777778
1644779325.566497,None,772,1498.5343915343915
1644779325.8780305,None,1358,1382.4603174603174
1644779326.5297747,None,2247,1348.8941798941798
1644779326.985574,None,1860,1406.835978835979
1644779327.2187178,None,1035,1427.5661375661375
1644779327.4359677,None,859,1367.5978835978835
1644779327.743957,None,1345,1299.148148148148
1644779328.2022607,None,2080,1285.4338624338625
1644779328.575483,None,1823,1340.6137566137565
1644779328.8031209,None,1021,1366.9100529100529
1644779330.1816034,None,6903,1319.873015873016
1644779330.4766974,None,1480,1842.2222222222222
1644779331.357557,None,3879,1817.2962962962963
1644779331.8059137,None,2149,2021.2380952380952
1644779331.9800346,None,857,2048.1746031746034
1644779332.1069856,None,474,1946.2962962962963
1644779333.3395689,None,6093,1808.6666666666667
1644779334.4456587,None,5640,2210.3809523809523
1644779334.9837847,None,2637,2541.8835978835978
1644779335.5505683,None,2590,2571.4656084656085
1644779335.8208888,None,1262,2586.703703703704
1644779335.9781199,None,795,2468.94708994709
1644779336.2990317,None,1455,2311.925925925926
1644779336.6700442,None,1824,2223.3968253968255
1644779336.9403594,None,1283,2167.7883597883597
1644779337.142731,None,951,2055.5502645502647
1644779337.3356817,None,918,1912.021164021164
